,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Post,Notes
105,UCLA,Pac-12 (South),3,4,.429,3,4,.429,35.4,30.7,-0.11,-2.97,,,,
106,Arizona,Pac-12 (South),0,5,.000,0,5,.000,17.4,39.8,-14.09,1.12,,,,
107,Georgia,SEC (East),8,2,.800,7,2,.778,32.3,20.0,19.33,8.53,4,3,7,
108,Florida,SEC (East),8,4,.667,8,3,.727,39.8,30.8,16.85,8.02,8,3,13,
109,Missouri,SEC (East),5,5,.500,5,5,.500,26.7,32.3,1.92,7.32,,,,
110,Kentucky,SEC (East),5,6,.455,4,6,.400,21.8,25.9,6.12,6.94,,23,,
111,Tennessee,SEC (East),3,7,.300,3,7,.300,21.5,30.1,1.49,8.89,25,14,,
112,South Carolina,SEC (East),2,8,.200,2,8,.200,23.5,36.0,-3.38,7.42,,,,
113,Vanderbilt,SEC (East),0,9,.000,0,9,.000,14.8,37.3,-11.61,6.39,,,,
114,Alabama,SEC (West),13,0,1.000,11,0,1.000,48.5,19.4,30.26,9.72,3,1,1,
115,Texas A&M,SEC (West),9,1,.900,8,1,.889,32.6,21.7,16.24,6.44,13,4,4,
116,Auburn,SEC (West),6,5,.545,6,4,.600,25.1,24.7,9.61,9.52,11,7,,
117,LSU,SEC (West),5,5,.500,5,5,.500,32.0,34.9,6.64,7.54,6,6,,
118,Ole Miss,SEC (West),5,5,.500,4,5,.444,39.2,38.3,8.07,7.57,,,,
119,Mississippi State,SEC (West),4,7,.364,3,7,.300,21.4,28.1,3.94,8.67,,16,,
120,Arkansas,SEC (West),3,7,.300,3,7,.300,25.7,34.9,3.99,11.39,,,,
121,Coastal Carolina,Sun Belt (East),11,1,.917,8,0,1.000,37.2,20.3,10.90,-2.86,,9,14,
122,Appalachian State,Sun Belt (East),9,3,.750,6,2,.750,33.8,20.0,5.47,-5.95,,23,,
123,Georgia Southern,Sun Belt (East),8,5,.615,4,4,.500,27.2,20.8,-1.80,-6.18,,,,
124,Georgia State,Sun Belt (East),6,4,.600,4,4,.500,33.3,31.7,0.34,-3.86,,,,
125,Troy,Sun Belt (East),5,6,.455,3,4,.429,27.4,25.7,-2.24,-4.33,,,,
126,Louisiana,Sun Belt (West),10,1,.909,7,1,.875,33.6,22.0,7.75,-2.25,,15,15,
127,South Alabama,Sun Belt (West),4,7,.364,3,5,.375,19.9,27.3,-9.83,-3.64,,,,
128,Arkansas State,Sun Belt (West),4,7,.364,2,6,.250,32.9,37.2,-7.86,-3.77,,,,
129,Texas State,Sun Belt (West),2,10,.167,2,6,.250,27.7,38.2,-9.93,-0.84,,,,
130,Louisiana-Monroe,Sun Belt (West),0,10,.000,0,7,.000,16.3,42.0,-23.67,-2.87,,,,
